contract,item_key,commercial,commercial_title,description,quantity,pricing_type,unit_price,total_price,spot_length_seconds,start_date,end_date,priority,rotation_group,notes
TBM-2026-001,TBM-2026-001-01,zbT Thunderbay Motors 30,zbT Thunderbay Motors 30,zbT Thunderbay Motors August Campaign,30,PER_SPOT,30000,0,60,2026-08-15,2026-09-15,2,,
WRA-2026-001,WRA-2026-001-01,zbT WaveRider Auto Group 60,zbT WaveRider Auto Group 60,zbT WaveRider Auto Group August Campaign,30,PER_SPOT,30000,0,30,2026-08-15,2026-09-15,1,,
SLC-2026-001,SLC-2026-001-01,zbT Spiny Lobster Café 30,zbT Spiny Lobster Café 30,zbT Spiny Lobster Café August Campaign,66,TOTAL,30000,200000,,2026-08-15,2026-09-15,2,,
MMG-2026-001,MMG-2026-001-01,zbT Mango Moon Grill 60,zbT Mango Moon Grill 60,zbT Mango Moon Grill August Campaign,33,TOTAL,30000,100000,,2026-08-15,2026-09-15,1,,
SEE-2026-001,SEE-2026-001-01,zbT Seashell Emporium 30,zbT Seashell Emporium 30,zbT Seashell Emporium August Campaign,25,PER_SPOT,30000,0,,2026-08-15,2026-09-15,1,,
TWO-2026-001,TWO-2026-001-01,zbT Tradewind Outfitters 60,zbT Tradewind Outfitters 60,zbT Tradewind Outfitters August Campaign,30,TOTAL,30000,50000,,2026-08-15,2026-09-15,2,,
CCR-2026-001,CCR-2026-001-01,zbT Coral Cay Realty 30,zbT Coral Cay Realty 30,zbT Coral Cay Realty August Campaign,25,PER_SPOT,30000,0,,2026-08-15,2026-09-15,1,,
HPP-2026-001,HPP-2026-001-01,zbT Horizon Point Properties 60,zbT Horizon Point Properties 60,zbT Horizon Point Properties August Campaign,30,TOTAL,30000,25000,,2026-08-15,2026-09-15,2,,
SIB-2026-001,SIB-2026-001-01,zbT Sovereign Isle Bank 30,zbT Sovereign Isle Bank 30,zbT Sovereign Isle Bank August Campaign,25,PER_SPOT,30000,0,,2026-08-15,2026-09-15,1,,
BSD-2026-001,BSD-2026-001-01,zbT Brightsmile Dental 60,zbT Brightsmile Dental 60,zbT Brightsmile Dental August Campaign,25,PER_SPOT,30000,0,,2026-08-15,2026-09-15,2,,
ALG-2026-001,ALG-2026-001-01,zbT Anchor Law Group 30,zbT Anchor Law Group 30,zbT Anchor Law Group August Campaign,15,PER_SPOT,30000,0,,2026-08-15,2026-09-15,1,,
ACR-2026-001,ACR-2026-001-01,zbT Azure Cove Resort 60,zbT Azure Cove Resort 60,zbT Azure Cove Resort August Campaign,15,PER_SPOT,30000,0,,2026-08-15,2026-09-15,1,,
TLC-2026-001,TLC-2026-001-01,zbT TropicLink Communications 30,zbT TropicLink Communications 30,zbT TropicLink Communications August Campaign,20,PER_SPOT,30000,0,,2026-08-15,2026-09-15,2,,
IBM-2026-001,IBM-2026-001-01,zbT Island Basket Market 60,zbT Island Basket Market 60,zbT Island Basket Market August Campaign,30,PER_SPOT,30000,0,,2026-08-15,2026-09-15,1,,
SSI-2026-001,SSI-2026-001-01,zbT Shield & Sail Insurance 30,zbT Shield & Sail Insurance 30,zbT Shield & Sail Insurance August Campaign,15,PER_SPOT,30000,0,,2026-08-15,2026-09-15,2,,
ZZL-2026-001,ZZL-2026-001-01,zbT Zephyr Life 30,zbT Zephyr Life 30,zbT Zephyr Life August Campaign,15,PER_SPOT,30000,0,,2026-08-15,2026-09-15,1,,this is a note
HPP-2026-002,HPP-2026-002-01,zbT Horizon Point Prop 60,zbT Horizon Point Prop 60,zbT Horizon Point Properties Aug Camp 2,30,PER_SPOT,30000,0,,2026-08-15,2026-09-15,2,,
HPP-2026-001,HPP-2026-001-02,zbT Horizon Point Properties 60,zbT Horizon Point Properties 60,zbT Horizon Point Properties August Campaign,20,PER_SPOT,30000,0,,2026-08-15,2026-09-15,2,,
